gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
3302565318																										82492428										CC_BY_NC_4_0			2021-06-11T09:53:01Z			https://www.inaturalist.org/observations/82492428				© Susan Elliott some rights reserved	Susan Elliott												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/82492428	82492428		Susan Elliott						flowering|flower budding			PRESENT																			2021-06-10T09:40:00	13:40:00Z			2021	6	10	2021/06/10 9:40 AM EDT															US	Vermont				West Rutland Marsh, West Rutland, VT, USA							43.631588	-73.062414	15.0																																182162048			Susan Elliott	2021-06-11T00:43:49				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:41:59.315Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:41:59.315Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.46_1	Vermont	USA.46.11_1	Rutland			
3302514744																										81918865										CC_BY_NC_4_0			2021-06-06T23:00:03Z			https://www.inaturalist.org/observations/81918865				© Wasyl Bakowsky some rights reserved	Wasyl Bakowsky												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/81918865	81918865		Wasyl Bakowsky									PRESENT																			2021-06-04T14:17:00	18:17:00Z			2021	6	4	2021/06/04 2:17 PM EDT															CA	Ontario				Peterborough County, ON, Canada							44.660752	-77.88787	15.0																																181027582			Wasyl Bakowsky	2021-06-06T19:55:45				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T18:11:06.083Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T18:11:06.083Z	2021-06-15T12:22:20.953Z	true				CAN	Canada	CAN.9_1	Ontario	CAN.9.40_1	Peterborough	CAN.9.40.6_1	Havelock-Belmont-Methuen	
3302462077																										81195218										CC_BY_NC_4_0			2021-06-11T13:27:43Z			https://www.inaturalist.org/observations/81195218				© Nathaniel Sharp some rights reserved	Nathaniel Sharp												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/81195218	81195218		Nathaniel Sharp									PRESENT																			2021-05-30T11:35:30	15:35:30Z			2021	5	30	2021-05-30 11:35:30															US	Vermont				Addison, VT 05491, USA							44.074688	-73.352668	25.0																																179607287			Nathaniel Sharp	2021-06-01T17:00:27				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T18:13:47.795Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T18:13:47.795Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.46_1	Vermont	USA.46.1_1	Addison			
3302271642																										80926561										CC_BY_NC_4_0			2021-05-31T05:32:24Z			https://www.inaturalist.org/observations/80926561				© belbaggon some rights reserved	belbaggon												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/80926561	80926561		belbaggon									PRESENT																			2021-05-30T15:07:33	19:07:33Z			2021	5	30	Sun May 30 2021 15:07:33 GMT -0400 (EDT)															CA	Québec				Granby							45.383816	-72.723877	5.0																																179085317			belbaggon	2021-05-30T19:07:57				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:48:55.326Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:48:55.326Z	2021-06-15T12:22:20.953Z	true				CAN	Canada	CAN.11_1	Québec	CAN.11.38_1	La Haute-Yamaska	CAN.11.38.3_1	Granby Ville	
3302255879																										81713831										CC_BY_NC_4_0			2021-06-06T19:33:22Z			https://www.inaturalist.org/observations/81713831				© Aaron Hulsey some rights reserved	Aaron Hulsey												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/81713831	81713831		Aaron Hulsey									PRESENT																			2021-06-04T09:44:34	13:44:34Z			2021	6	4	Fri Jun 04 2021 09:44:34 GMT-0400 (EDT)															US	Massachusetts				Southwick, MA, US							42.036472	-72.741592	67.0																																180657328			Aaron Hulsey	2021-06-05T15:24:11				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T18:03:53.701Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T18:03:53.701Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.22_1	Massachusetts	USA.22.7_1	Hampden			
3302190720																										79872710										CC_BY_NC_4_0			2021-06-01T00:44:47Z			https://www.inaturalist.org/observations/79872710				© Josh Persi some rights reserved	Josh Persi												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/79872710	79872710		Josh Persi									PRESENT																			2021-05-22T12:57:51	16:57:51Z			2021	5	22	2021-05-22 12:57:51															CA	Ontario				Milton, ON, Canada							43.505761	-79.962233																																	179444505			Sean Blaney	2021-06-01T00:12:43			note opposite (not alternate) leaves	47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:06:02.729Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:06:02.729Z	2021-06-15T12:22:20.953Z	true				CAN	Canada	CAN.9_1	Ontario	CAN.9.15_1	Halton	CAN.9.15.3_1	Milton	
3302076688																										82124961										CC_BY_NC_4_0			2021-06-09T10:06:06Z			https://www.inaturalist.org/observations/82124961				© Sarah Bonnett some rights reserved	Sarah Bonnett												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/82124961	82124961		Sarah Bonnett									PRESENT																			2021-05-30T17:29:00	21:29:00Z			2021	5	30	2021/05/30 5:29 PM EDT															CA	Ontario				Roseneath, ON K0K 2X0, Canada							44.126932	-78.038088	447.0																																181484927			Will Van Hemessen	2021-06-08T11:28:14				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:23:00.782Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:23:00.782Z	2021-06-15T12:22:20.953Z	true				CAN	Canada	CAN.9_1	Ontario	CAN.9.34_1	Northumberland	CAN.9.34.2_1	Alnwick/Haldimand	
3302076066																										81951719										CC_BY_NC_4_0			2021-06-13T02:26:21Z			https://www.inaturalist.org/observations/81951719				© ross_ny some rights reserved	ross_ny												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/81951719	81951719		ross_ny									PRESENT																			2021-06-06T16:52:08	20:52:08Z			2021	6	6	Sun Jun 06 2021 16:52:08 GMT-0400 (EDT)															US	Vermont				Windsor, VT, US							43.466013	-72.398063	30.0																																181087231			ross_ny	2021-06-06T23:53:32				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:03:55.455Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:03:55.455Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.46_1	Vermont	USA.46.14_1	Windsor			
3301998549																										82084263										CC_BY_NC_4_0			2021-06-09T13:59:57Z			https://www.inaturalist.org/observations/82084263				© jharkness some rights reserved	jharkness												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/82084263	82084263		jharkness									PRESENT																			2021-06-07T13:23:00	17:23:00Z			2021	6	7	2021/06/07 1:23 PM EDT															US	New York				Dutchess County, NY, USA							41.964118	-73.686366	15.0																																181360018			jharkness	2021-06-07T22:12:41				47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T18:18:59.906Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T18:18:59.906Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.33_1	New York	USA.33.14_1	Dutchess			
3301992615																										82472444										CC_BY_NC_4_0			2021-06-10T23:02:25Z			https://www.inaturalist.org/observations/82472444				© dzlatanovski some rights reserved	dzlatanovski												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/82472444	82472444		dzlatanovski									PRESENT																			2021-06-10T17:24:10	21:24:10Z			2021	6	10	Thu Jun 10 2021 17:24:10 GMT-0400 (EDT)															US	Massachusetts				Skyline Dr, Arlington, MA, US							42.43695	-71.181847	23.0																																182142817			patswain	2021-06-10T22:56:02			I think this is spreading dogbane rather than poison sumac. The leaf blades are wide spreading and opposite- and are leaves not leaflets (poison sumac has compound leaves, sumac-y but shiny and no teeth). The habitat is upland looking, poison sumac usually (of course not always) in wetlands, often peaty (or not quite peaty) areas. Poison sumac is woody with thick branches, alternate compound leaves, that do have red rachises.. There are 2 dogbane species in New England. I think this is spreading dogbane, the other has more upright, narrower leaves.	47359								Apocynum androsaemifolium L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum		androsaemifolium		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-06-15T17:47:20.873Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum	Apocynum androsaemifolium L.	Apocynum androsaemifolium		DWC_ARCHIVE	2021-06-15T17:47:20.873Z	2021-06-15T12:22:20.953Z	false				USA	United States	USA.22_1	Massachusetts	USA.22.9_1	Middlesex			
