spp,lon,lat
Aa,-73.06241,43.63159
Aa,-73.35267,44.07469
Aa,-72.72388,45.38382
Aa,-72.74159,42.03647
Aa,-72.39806,43.46601
Aa,-72.44495,43.05172
Aa,-72.92165,45.63023
Aa,-71.08255,42.4446
Aa,-79.93435,43.24489
Aa,-74.1892,45.64222
Aa,-75.05458,45.18364
Aa,-75.83699,45.02412
Aa,-79.97174,44.84957
Aa,-71.95578,42.88942
Aa,-75.23,45.20841
Aa,-75.24524,40.05809
Aa,-76.68713,45.18888
Aa,-76.24815,45.73067
Aa,-78.2747,44.97281
Aa,-75.38278,45.34686
Aa,-72.1019,43.49611
Aa,-71.57431,41.64809
Aa,-71.61318,43.9296
Aa,-74.21456,45.08674
Aa,-74.3241,45.46474
Aa,-75.81997,41.23349
Aa,-75.80766,45.65825
Aa,-73.89985,45.74186
Aa,-72.36248,44.68183
Aa,-79.23354,44.65887
Aa,-74.40124,43.8726
Aa,-75.94468,45.7596
Aa,-77.2022,44.90114
Aa,-73.53106,43.60683
Aa,-78.86267,45.02828
Aa,-76.9536,44.57108
Aa,-79.77942,44.92375
Aa,-74.5307,44.12255
Aa,-79.54814,44.76801
Aa,-79.1799,42.47917
Aa,-78.34018,41.15496
Aa,-79.20745,41.50563
Aa,-79.66279,44.39386
Aa,-77.84409,40.74732
Aa,-78.55183,40.65297
Aa,-74.7822,41.33616
Aa,-75.36878,41.58911
Aa,-73.59722,45.05306
Aa,-73.40399,45.42601
Aa,-72.38433,45.16217
Aa,-76.32543,42.54491
Aa,-71.53386,44.36112
Aa,-76.1338,45.96461
Aa,-79.80826,43.2065
Aa,-75.66528,45.69873
Aa,-73.3311,45.64045
Aa,-79.42423,42.03191
Aa,-74.73465,45.68835
Aa,-74.72046,41.21823
Aa,-74.93133,44.52553
Aa,-76.40681,45.82678
Aa,-72.92281,42.45549
Aa,-78.29525,44.02652
Aa,-72.3988,43.25138
Aa,-79.15706,45.62005
Aa,-71.48376,45.94568
Aa,-79.01439,42.5514
Aa,-77.24319,42.03002
Aa,-77.90905,44.39237
Aa,-74.11628,45.93331
Aa,-73.5338,45.87032
Aa,-72.39546,45.64253
Aa,-71.84144,45.41969
Aa,-72.0583,45.35524
Aa,-71.14744,43.20889
Aa,-72.06876,45.46444
Aa,-72.35029,41.62496
Aa,-70.96279,42.52507
Aa,-71.65644,45.89576
Aa,-72.99567,43.25562
Aa,-71.36944,42.55512
Aa,-74.41668,44.22531
Aa,-74.05905,45.52646
Aa,-74.22394,45.98833
Aa,-75.99181,45.37977
Aa,-71.88298,42.0956
Aa,-78.7149,45.0605
Aa,-75.1249,45.7641
Aa,-79.88263,43.43344
Aa,-77.17904,45.52441
Aa,-75.83078,41.506
Aa,-72.84333,42.22357
Aa,-71.91633,45.4987
Aa,-71.98928,42.58891
Aa,-79.84982,45.63091
Aa,-76.64855,45.46337
Aa,-70.4427,44.15708
Aa,-71.55606,45.65353
Aa,-70.79161,41.89685
Aa,-71.78423,44.38385
Aa,-72.20186,45.6411
Aa,-79.21262,45.50782
Aa,-72.84148,45.71559
Aa,-72.49056,45.87981
Aa,-74.11201,45.83934
Aa,-77.56994,42.47246
Aa,-79.88117,41.32695
Aa,-73.76653,45.89807
Aa,-76.00004,40.25377
Aa,-71.33175,42.21156
Aa,-77.38197,44.3594
Aa,-71.34864,45.90368
Aa,-71.25922,42.89579
Aa,-72.50094,45.97394
Aa,-71.79653,44.18131
Aa,-70.73412,43.18324
Aa,-72.49647,45.34222
Aa,-72.87184,45.06643
Aa,-79.45922,44.22113
Aa,-77.99288,45.17034
Aa,-70.79877,43.58623
