bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
2732853748,specimen,SamplingEventNumber:USGS_DRO15117 | SpecimenNumber:USGS_DRO437498,,Samantha Gallagher,BISON,BISON,usgs-pwrc-biml,USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML),2015-07-21,2015,StartDateTime:20150721,Dufourea novaeangliae,Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,44.71039962768555,-67.45800018310547,,,500 meters,,,,,23029,Washington,Washington County,Maine,Maine,,,,US,https://bison.usgs.gov/,https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml,http://www.discoverlife.org/mp/20l?id=USGS_DRO437498,,,identifiedBy:Samantha Gallagher; dateIdentified:2/25/201; taxonRemarks:special addition to database; samplingProtocol:trapType:; trapCount:; trapVolume:; trapColor:; trapLiquid:; fieldNote:specimen collected by hand in labyrinth garden on campus on Hypericum; note:; sex:female,http://creativecommons.org/publicdomain/zero/1.0/legalcode
657754118,specimen,233026,,"Payette, A",b554c320-0560-11d8-b851-b8a03c50a862,University of Kansas Biodiversity Institute,aae308f4-9f9c-4cdd-b4ef-c026f48be551,Snow Entomological Museum Collection,1999-07-01,1999,,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,45.41669845581055,-74.16670227050781,,,,,,,,2471,,Vaudreuil-Soulanges,Quebec,Quebec Canada,,,,CA,http://www.nhm.ku.edu/,http://ipt.nhm.ku.edu/ipt/resource.do?r=kubi_entomology,,,,,CC_BY_4_0
2310753264,specimen,,,"J. Cossey, J. Fernandez, R. Labbee, J. Smith, M. Zhang",ada9d123-ddb4-467d-8891-806ea8d94230,European Molecular Biology Laboratory (EMBL),ad43e954-dd79-4986-ae34-9ccdbd8bf568,Geographically tagged INSDC sequences,2009-08-03,2009,,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,178035,44.380001068115234,-65.19999694824219,,,,,,,,1204,,Queens,,Nova Scotia Canada,,,,CA,https://www.ebi.ac.uk/ena,,,,,,CC_BY_4_0
1703121811,observation,2077082,,BJ Stacey,28eb1a3f-1c15-4a95-931a-4af90ecb574d,iNaturalist.org,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,2015-08-03,2015,2015-08-03 15:39:36,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,199116,44.567901611328125,-68.6779556274414,,,38.0,,,,,23009,,Hancock County,Maine,Maine,,,,US,http://www.inaturalist.org,https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research,,,,,CC_BY_NC_4_0
2597825956,observation,41292135,,Max McCarthy,28eb1a3f-1c15-4a95-931a-4af90ecb574d,iNaturalist.org,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,2019-07-06,2019,Sat Jul 06 2019 15:03:31 GMT-0400 (EDT),"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,199116,42.46067428588867,-71.40267944335938,,,288.0,,,,,25017,,Middlesex County,Massachusetts,Massachusetts,,,,US,http://www.inaturalist.org,https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research,,,,,CC_BY_NC_4_0
1841519339,specimen,HGPPH036-10,,"J. Cossey, J. Fernandez, R. Labbee, J. Smith, M. Zhang",296fe5cf-ae43-4212-8f77-293e807d0d5a,University of Guelph,f9a70dab-004b-45ad-90cb-24d8ff645b44,Centre for Biodiversity Genomics - Canadian Specimens,2009-08-03,2009,,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,44.380001068115234,-65.19999694824219,,,,,,,,1204,,Queens,Nova Scotia,Nova Scotia Canada,,,,CA,http://www.uoguelph.ca,https://ipt.uoguelph.ca/ipt/resource?r=cbg_canadian_specimens,,,,,CC0_1_0
1841519370,specimen,HGPPH054-10,,"J. Cossey, J. Fernandez, R. Labbee, J. Smith, M. Zhang",296fe5cf-ae43-4212-8f77-293e807d0d5a,University of Guelph,f9a70dab-004b-45ad-90cb-24d8ff645b44,Centre for Biodiversity Genomics - Canadian Specimens,2009-08-03,2009,,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,44.380001068115234,-65.19999694824219,,,,,,,,1204,,Queens,Nova Scotia,Nova Scotia Canada,,,,CA,http://www.uoguelph.ca,https://ipt.uoguelph.ca/ipt/resource?r=cbg_canadian_specimens,,,,,CC0_1_0
1268722139,specimen,15071,,[no agent data],b4640710-8e03-11d8-b956-b8a03c50a862,"Museum of Comparative Zoology, Harvard University",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,"Museum of Comparative Zoology, Harvard University",1894-07-14,1894,"July 14, 1894","Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,41.749542236328125,-72.15452575683594,,,3036.0,,,,,09015,Windham,Windham County,Connecticut,Connecticut,,,,US,http://www.mcz.harvard.edu/,http://digir.mcz.harvard.edu/ipt/resource.do?r=mczbase,,,,,CC_BY_NC_4_0
657589894,specimen,233023,,unknown,b554c320-0560-11d8-b851-b8a03c50a862,University of Kansas Biodiversity Institute,aae308f4-9f9c-4cdd-b4ef-c026f48be551,Snow Entomological Museum Collection,,,,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,,40.76530075073242,-73.81780242919922,,,,,,,,36081,Queens,Queens County,New York,New York,,,,US,http://www.nhm.ku.edu/,http://ipt.nhm.ku.edu/ipt/resource.do?r=kubi_entomology,,,,,CC_BY_4_0
1890098927,observation,9309679,,Mark Nofsinger,28eb1a3f-1c15-4a95-931a-4af90ecb574d,iNaturalist.org,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,2017-08-11,2017,2017/08/11 3:18 PM CDT,"Dufourea novaeangliae (Robertson, 1897)",Dufourea novaeangliae,Dufourea novaeangliae,,,655635,655635,199116,46.28252029418945,-89.5723876953125,,,8.0,,,,,26053,,Gogebic County,Michigan,Michigan,,,,US,http://www.inaturalist.org,https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research,,,,,CC_BY_NC_4_0
