gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
3097194722																										74911948										CC_BY_NC_4_0			2021-04-23T16:41:38Z			https://www.inaturalist.org/observations/74911948				© Molly Jacobson some rights reserved	Molly Jacobson												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/74911948	74911948		Molly Jacobson									PRESENT							Almost a hundred individuals caught at this location. This particular female was caught via pan trap but all others were males caught in sweeps of pickerelweed in this marsh. Photo of male: https://bugguide.net/node/view/1703601/bgimage .												2019-08-09T00:00:00				2019	8	9	2019/08/09															US	New York				Seneca Meadows Wetlands Preserve							42.942429	-76.81907	106.0																																167434806			Molly Jacobson	2021-04-23T08:19:41				199116								Dufourea novaeangliae (Robertson, 1897)								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2021-05-25T12:20:54.874Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae		DWC_ARCHIVE	2021-05-25T12:20:54.874Z	2021-05-25T10:14:33.724Z	false				USA	United States	USA.33_1	New York	USA.33.51_1	Seneca			
3072594325																										MCZ:Ent:734038									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734038					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass.; J. Bequaert collector""}"	MCZ:Ent:734038	734038		Joseph C. Bequaert	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass.; J. Bequaert collector																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:33.112Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:33.112Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/59865385		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072593329																										MCZ:Ent:734037									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734037					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.; Dufourea novae-angliae""}"	MCZ:Ent:734037	734037		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.; Dufourea novae-angliae																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:28.342Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:28.342Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072592334																										MCZ:Ent:734035									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734035					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734035	734035		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:29.050Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:29.050Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072591331																										MCZ:Ent:734036									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734036					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734036	734036		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:29.653Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:29.653Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072590334																										MCZ:Ent:734034									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734034					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734034	734034		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:32.827Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:32.827Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072589325																										MCZ:Ent:734049									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734049					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Lincoln Co., 7-16-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)""}"	MCZ:Ent:734049	734049		Donald Joyce Borror	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Lincoln Co., 7-16-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)												1946-07-16T00:00:00		0		1946	7	16	7-16-46										North America: United States: Maine: Lincoln	NORTH_AMERICA				US	Maine	Lincoln		[no specific locality data]	Lincoln Co., Me.							44.030379	-69.535372	35815.0			decimal degrees					Patrick McCormack		GEOLocate	GEOLocate	verified by MCZ collection																							G. Bohart													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:33.447Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:33.447Z	2021-05-21T21:32:01.197Z	false												
3072589324																										MCZ:Ent:734030									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734030					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734030	734030		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:33.447Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:33.447Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
3072588337																										MCZ:Ent:734050									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734050					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Lincoln Co., 7-26-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)""}"	MCZ:Ent:734050	734050		Donald Joyce Borror	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Lincoln Co., 7-26-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)												1946-07-26T00:00:00		0		1946	7	26	7-26-46										North America: United States: Maine: Lincoln	NORTH_AMERICA				US	Maine	Lincoln		[no specific locality data]	Lincoln Co., Me.							44.030379	-69.535372	35815.0			decimal degrees					Patrick McCormack		GEOLocate	GEOLocate	verified by MCZ collection																							G. Bohart													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:29.366Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:29.366Z	2021-05-21T21:32:01.197Z	false												
3072588336																										MCZ:Ent:734032									en	CC_BY_NC_4_0						http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734032					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PRESERVED_SPECIMEN			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734032	734032		William Morton Wheeler	1				Adult				PRESENT	whole animal (pinned)	not applicable					life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	NORTH_AMERICA				US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.							42.296638	-71.111824	1440.0			decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae		SPECIES			ICZN	ACCEPTED			4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2021-05-21T22:15:29.366Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5042721	5042721	1	54	216	1457	7908	1351817		5042721	Dufourea novaeangliae	Dufourea	Dufourea novaeangliae (Robertson, 1897)	Dufourea novaeangliae (Robertson, 1897)		DWC_ARCHIVE	2021-05-21T22:15:29.366Z	2021-05-21T21:32:01.197Z	false		http://viaf.org/viaf/2602433		USA	United States	USA.22_1	Massachusetts	USA.22.13_1	Suffolk			
