gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
3097194722																										74911948										http://creativecommons.org/licenses/by-nc/4.0/			2021-04-23T16:41:38Z			https://www.inaturalist.org/observations/74911948				© Molly Jacobson some rights reserved	Molly Jacobson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/74911948	74911948		Molly Jacobson								wild									Almost a hundred individuals caught at this location. This particular female was caught via pan trap but all others were males caught in sweeps of pickerelweed in this marsh. Photo of male: https://bugguide.net/node/view/1703601/bgimage .												2019-08-09							2019/08/09																US	New York				Seneca Meadows Wetlands Preserve											42.9424292032	-76.8190698193		106																																			167434806			Molly Jacobson	2021-04-23T08:19:41Z				199116								Dufourea novaeangliae								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea				species									
3072594325																										MCZ:Ent:734038									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734038					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass.; J. Bequaert collector""}"	MCZ:Ent:734038	734038		Joseph C. Bequaert	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass.; J. Bequaert collector																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/59865385	
3072593329																										MCZ:Ent:734037									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734037					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.; Dufourea novae-angliae""}"	MCZ:Ent:734037	734037		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.; Dufourea novae-angliae																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
3072592334																										MCZ:Ent:734035									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734035					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734035	734035		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
3072591331																										MCZ:Ent:734036									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734036					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734036	734036		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
3072590334																										MCZ:Ent:734034									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734034					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734034	734034		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
3072589325																										MCZ:Ent:734049									en				2021-05-13 12:54:10.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734049					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Lincoln Co., 7-16-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)""}"	MCZ:Ent:734049	734049		Donald Joyce Borror	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Lincoln Co., 7-16-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)												1946-07-16		0		1946	07	16	7-16-46										North America: United States: Maine: Lincoln	North America				United States	US	Maine	Lincoln		[no specific locality data]	Lincoln Co., Me.											44.030379	-69.535372	WGS84	35815						decimal degrees					Patrick McCormack		GEOLocate	GEOLocate	verified by MCZ collection																							G. Bohart													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN					
3072589324																										MCZ:Ent:734030									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734030					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734030	734030		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
3072588337																										MCZ:Ent:734050									en				2021-05-13 12:54:10.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734050					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Lincoln Co., 7-26-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)""}"	MCZ:Ent:734050	734050		Donald Joyce Borror	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Lincoln Co., 7-26-46 Me. D.J. Borror; Dufourea novaeangliae G. Bohart (Vier)												1946-07-26		0		1946	07	26	7-26-46										North America: United States: Maine: Lincoln	North America				United States	US	Maine	Lincoln		[no specific locality data]	Lincoln Co., Me.											44.030379	-69.535372	WGS84	35815						decimal degrees					Patrick McCormack		GEOLocate	GEOLocate	verified by MCZ collection																							G. Bohart													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN					
3072588336																										MCZ:Ent:734032									en				2021-03-30 13:06:44.0			http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:734032					President and Fellows of Harvard College							PhysicalObject		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	Ent		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			"{""life stage"":""adult"", ""verbatim label transcription"":""Forest Hills, Mass. W. M. Wheeler.""}"	MCZ:Ent:734032	734032		William Morton Wheeler	1									whole animal (pinned)	not applicable						life stage: adult; verbatim label transcription: Forest Hills, Mass. W. M. Wheeler.																			[no verbatim date data]									http://vocab.getty.edu/tgn/1002923	North America: United States: Massachusetts: Suffolk	North America				United States	US	Massachusetts	Suffolk		Boston, Forest Hills	Forest Hills, Mass.											42.296638	-71.111824	WGS84	1440						decimal degrees					Jeremy Kisala		GEOLocate	GEOLocate	verified by MCZ collection																							[no agent data]													Dufourea novaeangliae (Robertson, 1897)							Animalia Arthropoda Hexapoda Insecta Pterygota Hymenoptera Apocrita Aculeata Apoidea Halictidae Rophitinae Dufourea novaeangliae	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae				(Robertson, 1897)		ICZN				http://viaf.org/viaf/2602433	
