id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
26202730,MCZ,Ent,"Museum of Comparative Zoology, H",PreservedSpecimen,MCZ:Ent:15071,15071,"type number=15071",Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae (Robertson, 1897)",,"(Robertson, 1897)",,,,,Robertson,2012-12-31,,"Labels: "" Nth. Windham Ct. July 14, 1894; Loaned by A.P. Morse; type 15071 det. 1897 by Robertson; type A.P. Morse Coll; Panurgus novae-angliae Rob. type male.""",,,,"[no agent data]",,,,1894-07-14,1894,7,14,195,,"July 14, 1894",,,,,,,,{},,,,,,,,1,,,"whole animal (mounted)","United States",Connecticut,Windham,,"North Windham",,0,,41.749543,-72.154522,WGS84,3036,"decimal degrees","Nelson Rios",GEOLocate,"GEOLocate batch georeferencing, 2018-10-03","verified by MCZ collection","[GEOLOCATE_SCORE: 88; GEOLOCATE_PRECISION: High; GEOLOCATE_NUMRESULTS: 2]",,,,,,,"not applicable",en,,"2018-10-15 13:55:50",MCZ:Ent:15071,19,urn:uuid:cb63c441-f52b-4817-ba06-1b3a35b5f6d9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26202730
19335444,MSU,MSUC,,PreservedSpecimen,311456f5-b610-4ba1-871a-98a05c34a698,MSUC_ARC_152517,d3f0254f-402e-11e4-828d-00ffb03b4b0e,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinned,USA,Michigan,,,,,0,,,,,,,,,,,,,,,,,,,,,"2016-01-31 00:00:00",,76,urn:uuid:311456f5-b610-4ba1-871a-98a05c34a698,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=19335444
24022650,EMEC,EMEC,,PreservedSpecimen,urn:catalog:EMEC:EMEC:544492,EMEC544492,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae (Robertson, 1897)",,"(Robertson, 1897)",,,,,,,,,,,,"J. S. Ascher",,,,1997-07-05,1997,7,5,186,,,,,,,,,,,,,,,,adult,,1,,,pin,"United States","New York","Cayuga County",,"Fair Haven Beach",,0,,43.34468,-76.69684,WGS1984,491,,,,,,,,,,,,,,,,"2015-12-12 00:00:00",urn:catalog:EMEC:EMEC:544492,90,urn:uuid:be05ea19-d7b4-4687-8774-e409d485ace4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=24022650
48315500,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382210",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-07-30,1996,7,30,212,,1996-7-30,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382210",100,urn:uuid:c6cd8625-61f1-4439-ba5e-0b5f76516405,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315500
48315501,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 179683",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 179683",100,urn:uuid:c9c686b2-4515-4666-ab7d-7e977ca9605c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315501
48315502,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418449",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"J.K. Bouseman",,,,,,,,,,,1996-08-20,1996,8,20,233,,1996-8-20,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418449",100,urn:uuid:dfb1033b-31da-45e0-aebb-8e7a8d19bd85,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315502
48315503,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418440",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"J.K. Bouseman",,,,,,,,,,,1996-08-21,1996,8,21,234,,1996-8-21,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418440",100,urn:uuid:464111f4-08f8-46ac-9f1b-6281903c30b6,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315503
48315504,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418441",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-08-21,1996,8,21,234,,1996-8-21,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418441",100,urn:uuid:08bd95c6-bae6-4266-86e0-c7ef72680362,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315504
48315505,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418438",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"J.K. Bouseman",,,,,,,,,,,1996-08-21,1996,8,21,234,,1996-8-21,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418438",100,urn:uuid:9aaada26-ffaa-460e-8525-dd7a055c889b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315505
48315506,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418439",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-08-21,1996,8,21,234,,1996-8-21,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418439",100,urn:uuid:598a179e-7072-4301-a4cd-e6b07b0404c5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315506
