spp,lon,lat
Lc,-73.77108,45.65529
Lc,-73.85508,45.55734
Lc,-72.2495,43.41125
Lc,-71.74354,44.77059
Lc,-75.69309,41.38962
Lc,-72.13211,43.0833
Lc,-73.94429,41.59496
Lc,-71.73701,44.52725
Lc,-79.92221,43.28297
Lc,-72.86709,43.92847
Lc,-72.75498,43.04436
Lc,-76.8216,44.87541
Lc,-77.31309,44.37841
Lc,-73.1174,42.68677
Lc,-76.62516,40.22882
Lc,-73.1501,43.07255
Lc,-73.46816,45.77347
Lc,-76.99686,41.43407
Lc,-71.09397,42.34395
Lc,-79.73359,41.70356
Lc,-76.99677,40.26704
Lc,-72.33375,45.21508
Lc,-74.03342,45.88289
Lc,-70.90295,42.25503
Lc,-73.25772,45.39051
Lc,-73.80521,42.90712
Lc,-75.77763,41.3142
Lc,-71.51816,41.67017
Lc,-73.91967,41.81086
Lc,-77.24057,45.77045
Lc,-77.12387,40.06117
Lc,-78.49259,42.30281
Lc,-72.60104,42.50648
Lc,-73.60124,45.74716
Lc,-79.06125,42.9417
Lc,-73.78554,43.49593
Lc,-77.0277,41.80333
Lc,-74.07671,42.76479
Lc,-73.27777,41.32459
Lc,-73.22424,41.42783
Lc,-79.49459,43.66522
Lc,-75.26001,45.14557
Lc,-75.6022,40.09517
Lc,-73.71209,45.56793
Lc,-72.08948,42.27025
Lc,-71.91448,42.11958
Lc,-73.15918,45.06877
Lc,-74.776,44.74497
Lc,-75.91009,41.13764
Lc,-76.17621,43.10984
Lc,-72.50605,45.34179
Lc,-75.23184,40.01409
Lc,-78.45518,44.01082
Lc,-78.78898,41.54265
Lc,-72.11444,45.62421
Lc,-73.86794,42.47214
Lc,-75.82152,44.48941
Lc,-78.5607,40.67265
Lc,-76.42658,40.62207
Lc,-72.46731,42.74057
Lc,-73.2659,42.47757
Lc,-72.4072,44.30494
Lc,-76.08987,45.43688
Lc,-71.7254,42.61705
Lc,-72.75944,42.61861
Lc,-77.00223,43.89455
Lc,-74.17326,45.29786
Lc,-72.21552,44.41102
Lc,-73.80083,45.25285
Lc,-72.57666,44.32824
Lc,-70.96499,44.13547
Lc,-79.75833,40.63872
Lc,-79,40.15
Lc,-79.10033,40.04301
Lc,-79.08391,40.4819
Lc,-79.17803,40.7101
Lc,-79.17306,40.30361
Lc,-78.16702,41.58422
Lc,-79.24346,41.30964
Lc,-79.22252,41.58126
Lc,-78.3178,40.62108
Lc,-79.21667,40.9
Lc,-77.5786,41.7134
Lc,-79.38333,40.1625
Lc,-78.85492,40.62569
Lc,-79.58111,42.24333
Lc,-79.83333,41.81667
Lc,-79.41074,40.01774
Lc,-79.51667,41.15
Lc,-79.48194,40.37917
Lc,-72.94694,42.97639
Lc,-78.56,41.24
Lc,-79.40318,41.60294
Lc,-79.5284,40.559
Lc,-78.44111,41.86056
Lc,-78.15,40.6
Lc,-74.73083,44.0175
Lc,-79.07444,40.37139
Lc,-78.23333,40.01667
Lc,-78.45,40.25
Lc,-79.60879,40.04433
Lc,-78.43837,40.01034
Lc,-79.27803,40.01892
Lc,-78.62655,40.04897
Lc,-73.22611,43.68111
Lc,-78.83333,41.38333
Lc,-74.55,44.13833
Lc,-79.33361,41.72302
Lc,-79.16139,40.16167
Lc,-79.5625,41.99444
Lc,-78.37596,41.48165
Lc,-78.51697,43.37211
Lc,-79.64755,41.28955
Lc,-79.26736,40.24327
Lc,-79.68132,41.10502
Lc,-75.63447,45.01706
Lc,-78.45171,44.48098
Lc,-73.63544,43.22422
Lc,-73.97824,43.00373
Lc,-77.37,41.2
Lc,-74.45086,41.91333
Lc,-79.953,44.7753
Lc,-73.59617,45.4439
Lc,-71.98795,45.27377
Lc,-78.07121,44.9232
Lc,-72.7852,42.13535
Lc,-72.6845,41.60022
Lc,-71.90081,45.41923
Lc,-75.89173,40.49727
Lc,-74.57353,40.59584
Lc,-73.79124,44.37867
Lc,-76.97178,41.25697
Lc,-73.34484,42.2167
Lc,-73.88591,42.73902
Lc,-72.26448,42.1934
Lc,-71.56098,43.30293
Lc,-73.77898,42.32189
Lc,-74.11373,43.56673
Lc,-77.98045,40.81953
