spp,lon,lat
Lc,-86.15099,42.91533
Lc,-90.76718,43.44458
Lc,-69.01404,44.5438
Lc,-84.33641,34.0713
Lc,-86.67486,33.62425
Lc,-87.75222,41.58503
Lc,-76.60602,44.24598
Lc,-87.3207,36.15885
Lc,-80.18122,40.49078
Lc,-76.99344,38.52618
Lc,-81.29438,41.45746
Lc,-77.19058,40.22125
Lc,-77.6186,39.12329
Lc,-88.01153,42.53323
Lc,-75.01608,40.0255
Lc,-83.70024,42.09007
Lc,-90.62731,45.52646
Lc,-78.53557,35.79122
Lc,-65.80451,45.2679
Lc,-89.31653,46.86796
Lc,-72.97007,44.36671
Lc,-79.15592,36.13312
Lc,-79.47197,44.01785
Lc,-71.48288,42.42219
Lc,-87.79812,43.49645
Lc,-82.95188,41.31393
Lc,-76.62348,38.76189
Lc,-80.65507,38.86767
Lc,-78.5607,40.67265
Lc,-88.31785,45.42621
Lc,-93.11486,45.02217
Lc,-91.44963,44.80659
Lc,-73.25772,45.39051
Lc,-70.90295,42.25503
Lc,-84.54266,33.83987
Lc,-78.12276,38.27989
Lc,-74.62171,40.79866
Lc,-78.8388,36.13378
Lc,-90.21596,31.49672
Lc,-75.75405,40.28094
Lc,-75.26804,40.47398
Lc,-89.04107,42.57288
Lc,-78.75497,35.71791
Lc,-122.8235,45.87139
Lc,-77.15166,38.97631
Lc,-78.15942,44.15296
Lc,-73.32919,42.12679
Lc,-82.72852,42.02969
Lc,-98.10937,42.36273
Lc,-80.12308,43.29317
Lc,-82.86953,42.00301
Lc,-74.01078,40.87551
Lc,-90.36204,40.80883
Lc,-95.38427,44.76382
Lc,-64.39572,45.1414
Lc,-74.46449,45.04243
Lc,-76.1204,43.91314
Lc,-103.51017,45.84303
Lc,-77.79925,38.78765
Lc,-83.68069,41.23795
Lc,-93.21702,45.18379
Lc,-76.73579,39.06148
Lc,-82.53105,35.80184
Lc,-81.65669,39.34858
Lc,-83.81266,40.06136
Lc,-87.65313,41.90819
Lc,-77.04825,40.9254
Lc,-92.32079,44.8022
Lc,-90.9824,45.82462
Lc,-75.51705,40.42478
Lc,-95.89365,39.91126
Lc,-83.6151,41.15922
Lc,-79.98606,40.52334
Lc,-88.32127,42.19692
Lc,-76.83986,39.14535
Lc,-77.67355,38.81667
Lc,-93.15761,44.90135
Lc,-77.53259,39.57037
Lc,-105.21074,40.04954
Lc,-83.99726,39.88166
Lc,-77.80571,38.67201
Lc,-88.65477,37.5172
Lc,-82.4028,41.02458
Lc,-77.27168,39.04427
Lc,-75.07594,40.14032
Lc,-75.98328,42.64477
Lc,-88.96339,38.02686
Lc,-81.55902,40.10275
Lc,-88.55582,41.60692
Lc,-92.3728,38.92947
Lc,-70.9167,42.87017
Lc,-76.92892,39.77052
Lc,-86.47289,34.6441
Lc,-78.08985,38.83727
Lc,-72.80161,41.29474
Lc,-77.71105,38.61122
Lc,-85.89839,32.78418
Lc,-87.29889,35.31757
Lc,-87.511,35.36291
Lc,-74.28462,40.76762
Lc,-77.9117,38.85133
Lc,-78.13641,39.43385
Lc,-77.65551,38.69278
Lc,-78.53851,37.94762
Lc,-79.70566,39.16489
Lc,-77.34098,38.87158
Lc,-77.81177,39.15165
Lc,-77.56212,39.26085
Lc,-88.17867,34.93472
Lc,-79.54329,37.72666
Lc,-75.94628,38.91738
Lc,-84.20251,36.61119
Lc,-79.84014,36.09006
Lc,-84.13975,42.42705
Lc,-77.3312,38.36293
Lc,-78.45332,38.02896
Lc,-79.08821,36.00061
Lc,-89.95198,43.33805
Lc,-75.82152,44.48941
Lc,-85.3205,34.78322
Lc,-72.08948,42.27025
Lc,-88.33692,41.924
Lc,-76.98199,39.16763
Lc,-75.6022,40.09517
Lc,-78.34596,38.18152
Lc,-86.86171,39.47447
Lc,-77.12387,40.06117
Lc,-77.24057,45.77045
Lc,-95.96355,41.2704
Lc,-75.77763,41.3142
Lc,-80.8152,35.78541
Lc,-87.27116,35.46599
Lc,-84.00005,41.57552
Lc,-91.69384,41.97224
Lc,-88.14974,42.21889
Lc,-77.21178,38.85644
Lc,-84.94896,30.57766
Lc,-77.50503,38.82614
Lc,-86.50269,39.73454
Lc,-73.85508,45.55734
Lc,-77.41367,39.80303
Lc,-77.30999,39.27906
Lc,-87.34286,44.83385
Lc,-78.51167,44.56398
Lc,-81.49234,44.41198
Lc,-77.32573,44.49388
Lc,-106.81249,51.888
Lc,-74.42918,41.20405
Lc,-73.29814,45.54089
Lc,-88.03744,42.92718
Lc,-92.97511,44.74966
Lc,-81.90431,43.21624
Lc,-93.26676,41.5558
Lc,-72.49313,42.33173
Lc,-86.82506,45.77974
Lc,-87.32024,46.46533
Lc,-66.50332,45.86526
Lc,-92.29857,47.88588
Lc,-77.50487,41.11361
Lc,-92.15861,47.8875
Lc,-73.47543,42.47199
Lc,-89.2785,46.52866
Lc,-76.8847,43.93452
Lc,-104.65331,39.27968
Lc,-93.13116,44.78745
Lc,-73.11658,43.09022
Lc,-76.52263,44.57167
Lc,-73.99745,44.24485
Lc,-75.85916,45.28447
Lc,-78.87981,42.44022
Lc,-74.91682,41.00098
Lc,-73.80637,42.6631
Lc,-88.76022,41.935
Lc,-73.16218,41.73549
Lc,-82.23229,41.27167
Lc,-74.32584,40.67253
Lc,-74.17865,41.0916
Lc,-82.65214,36.04414
Lc,-75.41488,44.89191
Lc,-72.97955,42.6794
Lc,-85.30152,41.01496
Lc,-73.35247,41.98424
Lc,-73.55254,45.45361
Lc,-92.92629,44.45142
Lc,-77.9987,38.95477
Lc,-72.57058,46.31105
Lc,-73.27931,44.06042
Lc,-77.67498,43.23259
Lc,-88.39835,45.98068
Lc,-95.07843,46.7842
Lc,-71.94667,42.94909
Lc,-78.59785,43.89603
Lc,-86.89609,46.09641
Lc,-77.18739,42.16166
Lc,-68.78047,44.5791
Lc,-73.64465,43.56104
Lc,-75.46869,40.85375
Lc,-82.22124,35.82698
Lc,-93.146,44.61318
Lc,-73.21119,42.07036
Lc,-77.87547,39.8363
Lc,-95.94966,46.42724
Lc,-93.99972,48.48667
Lc,-93.27005,47.00247
Lc,-92.85628,45.04224
Lc,-91.13313,47.41105
Lc,-81.18036,35.81742
Lc,-71.77461,44.82731
Lc,-70.69179,46.12424
Lc,-73.07413,43.75908
Lc,-84.04404,42.33635
Lc,-73.65699,42.67097
Lc,-72.23296,42.3406
Lc,-73.31552,44.64032
Lc,-87.74191,41.97931
Lc,-73.03024,42.50288
Lc,-83.79072,41.63971
Lc,-72.40004,42.39058
Lc,-85.49918,43.79109
Lc,-84.22607,36.33089
Lc,-72.05191,44.0755
Lc,-94.83924,48.86386
Lc,-64.89239,45.41419
Lc,-105.34729,42.39351
Lc,-92.19129,48.14547
Lc,-81.61716,42.96516
Lc,-81.46293,43.18121
Lc,-90.8739,37.7121
Lc,-70.49164,43.49806
Lc,-89.78674,38.3769
Lc,-81.04729,42.70612
Lc,-73.5299,42.11819
Lc,-81.07455,42.87003
Lc,-88.26685,45.99059
Lc,-82.97605,40.61651
Lc,-70.64339,43.74888
Lc,-75.61784,40.65637
Lc,-74.85627,40.57904
Lc,-104.83106,38.7578
Lc,-74.67265,41.30286
Lc,-72.53647,43.08228
Lc,-74.5881,45.01179
Lc,-64.96956,45.575
Lc,-98.80634,51.43938
Lc,-73.07934,45.02318
Lc,-82.96263,42.34529
Lc,-75.72072,44.95046
Lc,-114.71869,47.34515
Lc,-91.20409,44.33349
Lc,-72.89329,42.56679
Lc,-96.28761,50.09674
Lc,-80.36987,40.51925
Lc,-63.21883,44.99448
Lc,-89.3017,43.11893
Lc,-87.54486,44.3273
Lc,-74.93306,46.48918
Lc,-77.00634,39.65977
Lc,-106.4908,51.03869
Lc,-88.8659,42.10351
Lc,-74.37769,41.74162
Lc,-92.62465,47.31394
Lc,-72.56991,42.25819
Lc,-80.36769,43.30212
Lc,-74.44644,45.55342
Lc,-73.76776,45.38561
Lc,-96.36027,49.52787
Lc,-85.16485,42.29739
Lc,-114.16284,50.9921
Lc,-86.24865,41.6905
Lc,-83.26852,42.19403
Lc,-112.52812,52.5758
Lc,-71.36144,46.62537
Lc,-81.65966,41.10525
Lc,-81.30698,43.02864
Lc,-65.64912,47.60333
Lc,-96.46379,50.01935
Lc,-76.73365,39.46477
Lc,-78.9,42.7
Lc,-73.80818,41.28212
Lc,-79.73261,38.9312
Lc,-76.8445,44.42468
Lc,-76.16606,42.24137
Lc,-100.82992,46.82616
Lc,-90.98432,43.51841
Lc,-74.45318,42.12704
Lc,-78.62437,44.49869
Lc,-91.53878,41.74625
Lc,-72.9175,43.72311
Lc,-77.59799,44.21597
Lc,-72.29623,43.0393
Lc,-78.0239,43.09346
Lc,-81.79398,43.27805
Lc,-72.66039,43.92453
Lc,-72.41869,44.63959
Lc,-75.37178,41.59186
Lc,-77.38599,43.07099
Lc,-69.06959,44.36415
Lc,-88.99164,42.2047
Lc,-81.85374,40.86291
Lc,-75.82433,42.89099
Lc,-73.01452,42.24248
Lc,-82.80062,39.93461
Lc,-86.33986,42.07296
Lc,-97.10542,49.87826
Lc,-75.34501,41.84875
Lc,-87.01644,41.61558
Lc,-81.12402,41.69401
Lc,-91.23832,41.72552
Lc,-73.51753,42.01842
Lc,-79.34976,42.13629
Lc,-66.69292,45.90312
Lc,-73.71032,41.46799
Lc,-65.83108,45.52772
Lc,-78.2479,44.34088
Lc,-74.04174,42.67186
Lc,-81.83563,41.46777
Lc,-74.62938,40.37505
Lc,-73.51048,43.67425
Lc,-83.49241,42.72265
Lc,-75.50811,45.46425
Lc,-74.44143,43.97635
Lc,-93.20871,44.71622
Lc,-92.74904,45.12143
Lc,-78.2015,38.86723
Lc,-95.21457,38.93371
Lc,-104.7649,39.33902
Lc,-88.33441,42.87288
Lc,-86.83083,41.75008
Lc,-80.21462,40.9164
Lc,-81.96927,40.68238
Lc,-90.27258,42.43088
Lc,-81.41892,43.73566
Lc,-83.71822,40.12141
Lc,-86.01854,39.97747
Lc,-92.41412,46.53203
Lc,-90.04765,43.14886
Lc,-75.053,42.51809
Lc,-79.96354,43.71319
Lc,-85.39173,42.62027
Lc,-75.93002,45.38962
Lc,-82.66715,35.34937
Lc,-72.84268,44.42129
Lc,-100.05833,51.01139
Lc,-80.75123,41.24855
Lc,-71.04877,42.74764
Lc,-76.04994,44.34285
Lc,-80.84315,44.06886
Lc,-97.21855,45.7457
Lc,-96.02534,50.11695
Lc,-76.53537,44.15711
Lc,-81.41759,41.42753
Lc,-95.73936,39.4619
Lc,-89.80688,43.10716
Lc,-76.05143,42.09433
Lc,-116.91407,48.18384
Lc,-80.58534,40.38854
Lc,-97.45532,45.7065
Lc,-100.25226,50.82163
Lc,-85.24084,39.10139
Lc,-81.04238,41.33031
Lc,-75.79247,45.36928
Lc,-63.84947,45.74351
Lc,-74.36337,42.03577
Lc,-87.91519,42.17737
Lc,-83.42917,42.18565
Lc,-79.30046,41.85081
Lc,-85.43047,38.75658
Lc,-73.24003,44.49895
Lc,-89.48441,43.12518
Lc,-76.28367,39.43917
Lc,-94.05853,48.64172
Lc,-91.16626,46.29003
Lc,-75.30459,40.36163
Lc,-80.09611,40.93917
Lc,-82.53234,41.30084
Lc,-87.8659,42.64587
Lc,-92.63661,45.92325
Lc,-89.73607,44.33087
Lc,-89.24606,48.44922
Lc,-84.2167,38.55622
Lc,-80.8078,40.47334
Lc,-84.45215,45.64933
Lc,-72.81257,43.8112
Lc,-82.64846,40.73175
Lc,-76.77642,39.69924
Lc,-73.04698,44.1276
Lc,-85.99239,42.78702
Lc,-66.1905,45.34229
Lc,-87.88134,43.08073
Lc,-89.44405,43.23396
Lc,-76.54312,40.48603
Lc,-74.87127,41.87898
Lc,-72.13056,43.76781
Lc,-73.67764,41.91798
Lc,-82.28488,39.83916
Lc,-110.85671,34.2805
Lc,-70.30388,43.62483
Lc,-73.86319,42.20798
Lc,-75.13146,40.97055
Lc,-73.38306,40.7195
Lc,-77.58417,44.09337
Lc,-83.80628,44.52397
Lc,-89.6936,44.9206
Lc,-70.93595,43.18053
Lc,-81.97201,41.00158
Lc,-83.98897,40.97407
Lc,-71.23725,43.18571
Lc,-83.20799,35.34246
Lc,-89.0223,42.68683
Lc,-74.8324,41.3035
Lc,-83.45898,40.15584
Lc,-92.65606,45.39751
Lc,-85.911,41.63454
Lc,-71.62895,42.49118
Lc,-82.44637,42.09152
Lc,-80.98996,44.2802
Lc,-99.99889,50.80194
Lc,-75.218,41.05791
Lc,-81.617,44.17382
Lc,-88.04795,40.11547
Lc,-85.36517,43.52567
Lc,-81.40672,40.56031
Lc,-93.29197,46.53812
Lc,-78.76297,44.41359
Lc,-73.91523,45.74071
Lc,-74.01965,45.99573
Lc,-75.02319,42.04017
Lc,-90.06482,38.56733
Lc,-82.57763,40.50384
Lc,-74.31011,41.14806
Lc,-75.73132,40.18138
Lc,-72.88517,42.45696
Lc,-87.26145,41.54439
Lc,-73.35443,42.42518
Lc,-82.29296,37.30159
Lc,-86.0529,38.28791
Lc,-78.46297,39.64101
Lc,-83.11189,40.1233
Lc,-79.60241,38.74362
Lc,-112.02068,43.76513
Lc,-82.09939,36.10526
Lc,-83.56381,42.5169
Lc,-96.54281,50.68715
Lc,-76.97178,41.25697
Lc,-75.89173,40.49727
Lc,-72.70154,42.43138
Lc,-73.20719,41.42426
Lc,-72.7852,42.13535
Lc,-110.31463,49.65895
Lc,-76.75422,39.24656
Lc,-83.24526,42.52392
Lc,-100.52595,49.48388
Lc,-80.00524,41.01032
Lc,-75.42084,45.56252
Lc,-70.96499,44.13547
Lc,-71.7254,42.61705
Lc,-64.55231,44.42295
Lc,-84.21792,39.45418
Lc,-72.46731,42.74057
Lc,-123.58088,49.40416
Lc,-113.40381,49.73171
Lc,-80.5613,42.63357
Lc,-80.13793,38.30942
Lc,-71.00432,46.98566
Lc,-72.50605,45.34179
Lc,-74.776,44.74497
Lc,-88.31928,42.29639
Lc,-88.35575,42.67191
Lc,-73.78554,43.49593
Lc,-71.91448,42.11958
Lc,-89.42585,44.49013
Lc,-73.71209,45.56793
Lc,-79.14748,46.22989
Lc,-122.45258,48.74359
Lc,-95.7676,41.09725
Lc,-75.26001,45.14557
Lc,-86.2772,43.95516
Lc,-90.62222,43.83402
Lc,-73.27777,41.32459
Lc,-74.07671,42.76479
Lc,-81.40798,40.87682
Lc,-77.0277,41.80333
Lc,-85.66245,43.01957
Lc,-122.84153,45.34823
Lc,-90.71012,42.85121
Lc,-71.8562,42.23339
Lc,-122.51919,47.21104
Lc,-93.21077,36.93572
Lc,-79.06125,42.9417
Lc,-73.60124,45.74716
Lc,-66.96114,45.88717
Lc,-72.60104,42.50648
Lc,-78.49259,42.30281
Lc,-74.12868,45.32279
Lc,-73.91967,41.81086
Lc,-82.0487,35.85724
Lc,-71.51816,41.67017
Lc,-73.80521,42.90712
Lc,-71.59744,46.66024
Lc,-73.29988,45.8189
Lc,-120.63311,46.59956
Lc,-73.88492,45.83879
Lc,-73.30126,42.28141
Lc,-74.03342,45.88289
Lc,-73.07235,46.08904
Lc,-72.80022,46.30506
Lc,-72.33375,45.21508
Lc,-79.46884,43.63829
Lc,-76.99677,40.26704
Lc,-79.73359,41.70356
Lc,-71.09397,42.34395
Lc,-73.46816,45.77347
Lc,-82.90565,40.11996
Lc,-123.21917,44.6022
Lc,-76.62516,40.22882
Lc,-122.16476,47.46851
Lc,-83.1535,40.80436
Lc,-77.05224,38.78829
Lc,-79.56023,44.77096
Lc,-89.59258,48.36777
Lc,-72.75498,43.04436
Lc,-79.39929,43.83542
Lc,-71.32683,42.4817
Lc,-72.86709,43.92847
Lc,-73.94429,41.59496
Lc,-72.13211,43.0833
Lc,-89.90268,42.991
Lc,-85.68025,40.10532
Lc,-72.2495,43.41125
Lc,-89.59287,48.00428
Lc,-65.34006,45.72167
Lc,-97.92294,50.35609
Lc,-64.0051,45.01876
Lc,-73.77108,45.65529
Lc,-83.8394,41.5412
Lc,-113.49145,49.00452
Lc,-72.42858,42.5187
Lc,-73.067,44.82698
