PBIUSI,Genus,species,Country,State_Prov,Sec_Subdiv,Locality,Lat,Lon,Start_Date,End_Date,Collector,Sex,Inst_Code,Project,Type,Det_By,Det_Date,Det_History,Spec_Notes,Loc_Notes,Accuracy,Coll_Method,Pres_Method,Spec_Count,Lat_Lon_Method,Lat_Lon_Accuracy,Elev_m,Elev_f,Elev_Det,Trip_Code,Dissections,Illustrations,Measurements,Photos,SEM,DNA,OrigUSI,Family,Subfamily,Tribe,Macro_Habitat,Micro_Habitat,Host_Family,Host_Genus,Host_species,Host_subspecies,Host_Author,Host_Common_Name,Host_Relation,Host_Location,Host_Emergence_Date,Host_with_Specimen
UCMS_ENT 00052063,Macropis,nuda,USA,New Hampshire,Merrimack,Webster,43.32888,-71.71805,"no date provided, likely 1897-1900",,W. F. Fiske,Adult Female,UNHP,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Unknown,Pinned,1,,,208,682,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00052064,Macropis,nuda,USA,New Hampshire,Strafford,Durham,43.13555,-70.93111,"no date provided, likely 1897-1900",,"C. M. Weed, W. F. Fiske",Adult Female,UNHP,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Unknown,Pinned,1,Google Earth,,26,85,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00052065,Macropis,nuda,USA,New Hampshire,Strafford,Durham,43.13555,-70.93111,"no date provided, likely 1897-1900",,"C. M. Weed, W. F. Fiske",Adult Female,UNHP,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Unknown,Pinned,1,Google Earth,,26,85,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00052066,Macropis,nuda,USA,New Hampshire,Strafford,Durham,43.13555,-70.93111,"no date provided, likely 1897-1900",,"C. M. Weed, W. F. Fiske",Adult Female,UNHP,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Unknown,Pinned,1,Google Earth,,26,85,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060200,Macropis,nuda,USA,Connecticut,Litchfield,Colebrook,41.9894,-73.0961,likely 1911-1921,,W. M. Wheeler,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,Ac. 5634,,,Netting,Pinned,1,Gazetteer,,363,1191,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060202,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,30 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060203,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,30 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060204,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,30 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060216,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,29 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060217,Macropis,nuda,USA,New York,Kings,"Lott Wood, Flatbush (on Long Island)",40.61027,-73.9325,28 Jun 1893,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,Google Earth,,4,14,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00235126,Macropis,nuda,USA,New York,Kings,"Lott Wood, Flatbush (on Long Island)",40.61027,-73.9325,28 Jun 1893,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2012,,Mites removed B. M. OConnor #04-0508-175,,,Netting,Pinned,1,Google Earth,,4,14,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060070,Macropis,ciliata,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060176,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060177,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060205,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
