id,col_id,species,date,country,state,county,muni,site,lat,lon
MFVeit_1,,Macropis nuda,7/3/2008,US,Massachusetts,Middlesex,Dunstable,Dunstable Rural Land Trust Gregg Property,42.7052,-71.5293
MFVeit_2,,Macropis nuda,6/27/2008,US,Massachusetts,Middlesex,Pepperell,Ashley Street Shoulder,42.6736,-71.6454
MFVeit_3,,Macropis nuda,6/22/2010,US,Maine,Penobscot,Mattawampkeag,Mattawamkeag River,45.5161,-68.3365
MFVeit_4,,Macropis nuda,7/1/2010,US,Massachusetts,Worcester,Lancaster,Pine Hill Road Gravelpit,42.472,-71.652
MFVeit_5,,Macropis nuda,7/20/2011,US,New Hampshire,Coos,Whitefield,Mt. Washington Regional Airport,44.367,-71.553
MFVeit_6,,Macropis nuda,6/28/2012,US,Massachusetts,Middlesex,Dunstable,Dunstable Rural Land Trust Gregg Property,42.7052,-71.5293
MFVeit_7,,Macropis nuda,7/18/2012,US,New Hampshire,Coos,Stewartson,Noyes Road,,
MFVeit_8,,Macropis nuda,6/28/2014,US,Massachusetts,Middlesex,Townsend,Townsend Hill WMA,42.677,-71.6727
MFVeit_9,,Macropis nuda,7/1/2014,US,Massachusetts,Barnstable,Barnstable,Powerline - Little Israel Pond,41.679,-70.283
MFVeit_10,,Macropis nuda,6/14/2015,US,Massachusetts,Middlesex,Groton,Groton Town Forest RR Bed,42.584741,-71.61280
MFVeit_11,,Macropis nuda,6/25/2016,US,Maine,York,Kennebunk,Kennebunk Plains Wildlife Management Area,43.405,-70.627
MFVeit_12,,Macropis nuda,6/23/2016,US,Maine,York,Kennebunk,Kennebunk Plains Wildlife Management Area,43.405,-70.627
MFVeit_13,,Macropis nuda,6/23/2016,US,Maine,York,Kennebunk,Kennebunk Plains Wildlife Management Area,43.405,-70.627
MFVeit_14,,Macropis nuda,6/25/2016,US,Maine,York,Kennebunk,Kennebunk Plains Preserve,43.405,-70.393
MFVeit_15,,Macropis nuda,6/23/2016,US,Maine,York,Kennebunk,Kennebunk Plains Wildlife Management Area,43.405,-70.627
MFVeit_16,,Macropis nuda,6/25/2016,US,Maine,York,Kennebunk,Kennebunk Plains Preserve,43.3994,-70.62625
MFVeit_17,,Macropis nuda,6/26/2017,US,New Hampshire,Cheshire,Richmond,ROW 43P,42.782416,-72.3078
MFVeit_18,,Macropis nuda,7/3/2017,US,Massachusetts,Hampshire,Belchertown,ROW 33P,42.25803,-72.45605
MFVeit_19,,Macropis nuda,6/28/2017,US,Massachusetts,Franklin,Northfield,ROW 35P,42.65635,-72.42692
MFVeit_20,,Macropis nuda,7/6/2017,US,New Hampshire,Cheshire,Hinsdale,ROW 47P,42.79692,-72.4866
MFVeit_21,,Macropis nuda,7/6/2017,US,New Hampshire,Cheshire,Ashuelot,ROW 53P,42.793,-72.42155
MFVeit_22,,Macropis nuda,6/28/2017,US,Massachusetts,Franklin,Erving,ROW 21P,42.58938,-72.46336
MFVeit_23,,Macropis nuda,7/10/2017,US,Massachusetts,Franklin,Northfield,ROW 35P,42.65635,-72.42692
MFVeit_24,,Macropis nuda,6/26/2017,US,New Hampshire,Cheshire,Richmond,ROW 43P,42.782416,-72.3078
MFVeit_25,,Macropis nuda,6/8/2018,US,New Hampshire,Cheshire,Richmond,ROW 43P,42.782416,-72.3078
GMacI_1,,Macropis nuda,7/9/2020,Canada,QC,,Montreal,,45.501337,-73.76413
BDuCl_1,2015P0665,Macropis nuda,7/9/2015,US,Maine,Waldo,Lincolnville,,44.3054,-69.1156
BDuCl_2,2014P0031,Macropis nuda,7/9/2014,US,Maine,Waldo,Belmont,,44.3733,-69.0754
wLab_1,SWG2016_4735,Macropis nuda,7/6/2016,US,New Jersey,Morris,Randolph,Posner_Pond_natural,40.831453,-74.621981
TJWood_1,,Macropis nuda,7/8/2017,US,Michigan,Hillsdale,,Pittsford State Game Area: Tote Road to Trail Road,41.866,-84.522
TJWood_2,,Macropis nuda,6/25/2018,US,Michigan,Tuscola,,Dayton: Plain Rd x Riley Rd,43.465,-83.268
TJWood_3,,Macropis nuda,6/30/2018,US,Michigan,Dickinson,,Foster City: Felch,45.996,-87.825
TJWood_4,,Macropis nuda,7/14/2018,US,Michigan,St Clair,,Algonac State Park,42.65,-82.531
TJWood_5,,Macropis nuda,7/15/2018,US,Michigan,Alcona,,Black River: Black River Rd x La Vigne Rd,44.815,-83.324
TJWood_6,,Macropis nuda,7/15/2018,US,Michigan,Alpena,,Mackinaw State Forest: Long Rapids Rd x Truax Creek,45.116,-83.823
