gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
3049148008		Not-for-profit use only																								49221888													2021-02-27 18:03:13			https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49221888					Texas A&M University										13b264e0-ea1c-4ff2-8229-0507f8dbf46a		TAMU	ENTO			Preserved specimen				325c9be4-67dd-4f09-b3f0-82ae48ec0730	X1376417		W. F. Chamberlain					adult																								1949-07-19		200		1949	7	19	7/19/1949															United States of America		Minnesota	Lyon		Tracy												44.23329	-95.61918	NAD27												D. Allen Dean		named place/site	BioGeomancer Workbench	georeferencing complete																												188621								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis		nuda				(Provancher, 1882)							
3044783897																										69444640										http://creativecommons.org/licenses/by-nc/4.0/			2021-02-14T06:35:54Z			https://www.inaturalist.org/observations/69444640				© Lydia Wong some rights reserved	Lydia Wong												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27443m to protect threatened taxon			https://www.inaturalist.org/observations/69444640	69444640		Lydia Wong								wild									IMG_2096.JPG On fringed loosestrife (Lysimachia), could be same individual as my previous observation, but this observation was made a couple days later												2018-07-09T02:01:00-04:00	06:01:00Z						2018/07/09 2:01 AM EDT																CA	Ontario				Ontario, CA											43.6320486911	-79.498539966		27443																																			154618259			John Ascher	2021-02-13T00:51:28Z				199154								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis				species									https://orcid.org/0000-0002-7887-2461
3039419087																										69397182										http://creativecommons.org/licenses/by-nc/4.0/			2021-02-13T03:36:52Z			https://www.inaturalist.org/observations/69397182				© Lydia Wong some rights reserved	Lydia Wong												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27443m to protect threatened taxon			https://www.inaturalist.org/observations/69397182	69397182		Lydia Wong								wild																					2018-07-03T14:11:00-04:00	18:11:00Z						2018/07/03 2:11 PM EDT																CA	Ontario				Ontario, CA											43.7088741122	-79.5832696154		27443																																			154404713			John Ascher	2021-02-11T14:12:33Z				199154								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis				species									https://orcid.org/0000-0002-7887-2461
2818555508																										51639153										http://creativecommons.org/licenses/by/4.0/			2020-07-17T12:46:56Z			https://www.inaturalist.org/observations/51639153				© Bex Goreham some rights reserved	Bex Goreham												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/51639153	51639153		Bex Goreham								wild																					2020-07-01T13:56:00-03:00	16:56:00Z						2020/07/01 1:56 PM ADT																CA	New Brunswick				Saint Stephen, NB, Canada											45.1743789081	-67.2926180562		202																																			117674389			John Ascher	2020-07-17T12:46:56Z				199154								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis				species									https://orcid.org/0000-0002-7887-2461
2813920427																										30912942										http://creativecommons.org/licenses/by-nc/4.0/			2021-03-11T19:31:40Z			https://www.inaturalist.org/observations/30912942				© marbuckle some rights reserved	marbuckle												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/30912942	30912942		marbuckle								wild																					2019-07-06T20:45:19-03:00	23:45:19Z						2019-07-06 8:45:19 PM ADT																CA	New Brunswick				Dumfries, NB E6G 1P5, Canada											45.9394262	-67.107332		20																																			116423757			John Ascher	2020-07-11T21:07:57Z				199154								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis				species									https://orcid.org/0000-0002-7887-2461
2813865412																										32116441										http://creativecommons.org/licenses/by-nc/4.0/			2020-07-09T02:26:07Z			https://www.inaturalist.org/observations/32116441				© David McCorquodale some rights reserved	David McCorquodale												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/32116441	32116441		David McCorquodale								wild									On dogbane. Observation of Apocynum at the same location. https://inaturalist.ca/observations/32116678												2019-08-18T11:43:00-03:00	14:43:00Z						2019/08/18 11:43 AM ADT																CA	New Brunswick				York County, NB, Canada											45.9803983333	-66.7531433333																																					84281034			John Ascher	2020-01-19T23:06:39Z				199154								Macropis nuda								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis				species									https://orcid.org/0000-0002-7887-2461
2804822893																										e978a75d-6f30-43a6-875c-f515e5d11e59										Attribution-NonCommercial-NoDerivatives 4.0 International https://creativecommons.org/licenses/by-nc-nd/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				e978a75d-6f30-43a6-875c-f515e5d11e59	AMNH_IZC 00291069			1			Female						Pinned																										7/10/2018		Netting						c5671991-ca73-4b7c-8512-03b0a923a520							USA		New York	Albany Co.		Huyck Preserve, Rensselaerville																			42 31 10.7 N	074 08 41.1 W																																						6301b0f0-42c9-4f71-842e-2cf8591e505f								Macropis nuda Provancher, 1882								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis		nuda											
2804821370																										b28b07bb-6dbe-4cfe-8b5b-7f7aa303d5e1										Attribution-NonCommercial-NoDerivatives 4.0 International https://creativecommons.org/licenses/by-nc-nd/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				b28b07bb-6dbe-4cfe-8b5b-7f7aa303d5e1	AMNH_IZC 00291085			1			Male						Pinned																										7/10/2018		Netting						c5671991-ca73-4b7c-8512-03b0a923a520							USA		New York	Albany Co.		Huyck Preserve, Rensselaerville																			42 31 10.7 N	074 08 41.1 W																																						6301b0f0-42c9-4f71-842e-2cf8591e505f								Macropis nuda Provancher, 1882								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis		nuda											
2804820524																										b2acd313-46ba-4100-8840-5deea0371fa2										Attribution-NonCommercial-NoDerivatives 4.0 International https://creativecommons.org/licenses/by-nc-nd/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				b2acd313-46ba-4100-8840-5deea0371fa2	AMNH_IZC 00291105			1			Male						Pinned																										7/10/2018		Netting						c5671991-ca73-4b7c-8512-03b0a923a520							USA		New York	Albany Co.		Huyck Preserve, Rensselaerville																			42 31 10.7 N	074 08 41.1 W																																						6301b0f0-42c9-4f71-842e-2cf8591e505f								Macropis nuda Provancher, 1882								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis		nuda											
2804820441																										a8a1715c-8936-4f73-a650-9bf2d4c36fe6										Attribution-NonCommercial-NoDerivatives 4.0 International https://creativecommons.org/licenses/by-nc-nd/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				a8a1715c-8936-4f73-a650-9bf2d4c36fe6	AMNH_IZC 00291073			1			Female						Pinned																										7/10/2018		Netting						c5671991-ca73-4b7c-8512-03b0a923a520							USA		New York	Albany Co.		Huyck Preserve, Rensselaerville																			42 31 10.7 N	074 08 41.1 W																																						6301b0f0-42c9-4f71-842e-2cf8591e505f								Macropis nuda Provancher, 1882								Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis		nuda											
