id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
49221888,TAMU,ENTO,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,"Preserved specimen",325c9be4-67dd-4f09-b3f0-82ae48ec0730,X1376417,,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,,,,"W. F. Chamberlain",,1949-07-19,1949,7,19,200,,7/19/1949,,,,,,,,,,,adult,,,,,,"United States of America",Minnesota,Lyon,,Tracy,,44.23329,-95.61918,NAD27,,,"D. Allen Dean","named place/site","BioGeomancer Workbench","georeferencing complete",,,,,,,,,,,"2021-02-27 18:03:13",http://creativecommons.org/licenses/by-nc/4.0/,"Texas A&M University","Not-for-profit use only",urn:uuid:8529e359-d3ea-4787-beef-a36bd4ce1859,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49221888
26199040,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:596701,596701,,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,"[no agent data]",,,,,,,"William Morton Wheeler",,1926-08-01,1926,8,1,213,,8-1-26,"life stage: adult",,,,,"{""life stage"":""adult""}",,,,,,,1,,,"whole animal (pinned)","United States",Connecticut,Litchfield,,Colebrook,,41.989539,-73.095665,WGS84,3036,"decimal degrees","[no agent data]",GEOLocate,"GEOLocate batch georeferencing, 2019-07-08","verified by MCZ collection","[GEOLOCATE_SCORE: 84; GEOLOCATE_PRECISION: High; GEOLOCATE_NUMRESULTS: 1]",,,,,,,"not applicable",en,,"2018-06-13 14:59:46",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:e82f6115-2a17-4a6e-9b69-88f467f6f883,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26199040
26199086,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:596700,596700,,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,"[no agent data]",,,,,,,"Joseph C. Bequaert",,1918-04-03,1918,4,3,93,,"3 July 1918","life stage: adult",,,,,"{""life stage"":""adult""}",,,,,,,1,,,"whole animal (pinned)","United States","New Jersey",Bergen,,Palisades,,,,,,,,,,,,,,,,,,"not applicable",en,,"2016-04-14 12:03:26",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:1407cc62-eb6d-4a4b-b7d6-3a9554132db8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26199086
26205694,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:592615,592615,"type number=15072",Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,Robertson,1897-12-31,,"Labels: Green Lodge June 14 1891; type 15072; type; Loaned by A.P. Morse; det. 1897 by Robertson; A.P. Morse Coll.; Macropis morsei female type Rob..""Specimen Notes: p 338 gives location as Massachusetts or New York. Google seaarch gave hith in Brooklyn NY. Went with that.",,,,"[no agent data]",,1891-06-14,1891,6,14,165,,"June 14 1891",,,,,,{},,,,,,,1,,,"whole animal (mounted)","United States","New York",,,"Green Lodge",,,,,,,,,,,,,,,,,,"not applicable",en,,"2016-10-21 14:40:48",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:e74fca2a-68b0-4a24-adc4-33eb907e7573,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26205694
26206680,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:592616,592616,"type number=15072",Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,Robertson,1897-12-31,,"Labels: Sherborn Mass July 12 1894; type 15072; type; Loaned by A.P. Morse; det. 1897 by Robertson; A.P. Morse Coll.; Macropis morsei female type Rob..""",,,,"[no agent data]",,1894-07-12,1894,7,12,193,,"July 12 1894",,,,,,{},,,,,,,1,,,"whole animal (mounted)","United States",Massachusetts,Middlesex,,Sherborn,,42.238986,-71.369781,WGS84,3036,"decimal degrees","[no agent data]",GEOLocate,"GEOLocate batch georeferencing, 2019-07-08",unverified,"[UNDER REVIEW; GEOLOCATE_SCORE: 83; GEOLOCATE_PRECISION: High; GEOLOCATE_NUMRESULTS: 1]",,,,,,,"not applicable",en,,"2018-01-24 16:05:46",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:374899d3-a71c-44b4-b92f-7d6af04e02be,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26206680
26206681,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:592617,592617,"type number=15072",Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,Robertson,1897-12-31,,"Labels: Ithaca NY 5 July '90; type 15072; type; Loaned by A.P. Morse; det. 1897 by Robertson; A.P. Morse Coll.; Macropis morsei female type Rob..""",,,,"[no agent data]",,1890-07-05,1890,7,5,186,,"5 July '90",,,,,,{},,,,,,,1,,,"whole animal (mounted)","United States","New York",Tompkins,,Ithaca,,42.440628,-76.496607,WGS84,3509,"decimal degrees","Nelson Rios",GEOLocate,"GEOLocate batch georeferencing, 2018-10-03",unverified,"[UNDER REVIEW; GEOLOCATE_SCORE: 82; GEOLOCATE_PRECISION: High; GEOLOCATE_NUMRESULTS: 1]",,,,,,,"not applicable",en,,"2018-01-24 16:05:46",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:530a20cc-0305-493d-822c-2718c0684fc6,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26206681
26206975,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:15072,15072,"type number=15072",Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda (Provancher, 1882)",,"(Provancher, 1882)",,,,,Robertson,1897-12-31,,"Labels: "" Winchendon, Mass July 6, 1892; type 15072; type; Loaned by A.P. Morse; det. 1897 by Robertson; A.P. Morse Coll.; Macropis morsei female type Rob..""",,,,"[no agent data]",,1892-07-06,1892,7,6,188,,"July 6, 1892",,,,,,{},,,,,,,1,,,"whole animal (mounted)","United States",Massachusetts,Worcester,,Winchendon,,42.686197,-72.043969,WGS84,2624,"decimal degrees","[no agent data]",GEOLocate,"GEOLocate batch georeferencing, 2019-07-08",unverified,"[UNDER REVIEW; GEOLOCATE_SCORE: 86; GEOLOCATE_PRECISION: High; GEOLOCATE_NUMRESULTS: 1]",,,,,,,"not applicable",en,,"2018-01-24 16:05:46",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:3d43075d-8fa5-4198-9d8e-617bdc40a335,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=26206975
14207212,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:0d2f77b3-3ddf-4fad-bd44-209b107093b8,"YPM ENT 703657",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-19,1984,7,19,201,,1984-7-19,"ENT number 703657; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:4e2e3038-3512-4f82-ba31-976b0151123a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14207212
14209255,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:0ff9cc98-9b0c-4404-888e-05fb40504607,"YPM ENT 703743",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-20,1984,7,20,202,,1984-7-20,"ENT number 703743; lot count 1",,,,,"{ ""solr_long_lat"": ""-71.05417,41.63056"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Granby, near Forge Pond",,41.63056,-71.05417,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): Near_FORGE_POND (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:da4371e7-c3ae-4c05-bf1b-683312257b14,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14209255
14212037,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:13da08e2-b96e-46e6-90cb-bf62a26edcae,"YPM ENT 703987",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-20,1984,7,20,202,,1984-7-20,"ENT number 703987; lot count 1",,,,,"{ ""solr_long_lat"": ""-71.05417,41.63056"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Granby, near Forge Pond",,41.63056,-71.05417,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): Near_FORGE_POND (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:b0a9278a-d6b6-48a3-9969-b10fe9822621,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14212037
