lat,lon
42.3802,-72.5237
41.6305,-71.0542
42.2708,-72.5273
42.5882,-73.9741
43.632,-79.4986
43.7088,-79.5833
42.5196,-74.1448
42.5161,-74.1384
41.4819,-74.9864
44.0688,-75.4942
42.5227,-74.1487
44.4083,-75.8768
42.2709,-72.5268
42.3284,-72.4759
42.2707,-72.4666
42.5227,-74.1485
41.9812,-73.3535
42.5201,-74.1442
44.0689,-75.4943
43.898,-76.12
42.5139,-76.3469
42.5715,-74.1416
42.7052,-71.5294
42.6736,-71.6454
42.472,-71.652
44.367,-71.553
42.677,-71.6728
41.679,-70.283
42.5847,-71.6128
43.405,-70.627
43.405,-70.393
43.3994,-70.6263
42.7824,-72.3078
42.258,-72.4561
42.6563,-72.427
42.7969,-72.4866
42.793,-72.4216
42.5893,-72.4634
45.5013,-73.7642
40.8314,-74.622
