lat,lon
42.3802,-72.5237
41.6305,-71.0542
42.2708,-72.5273
44.883,-68.6725
44.851,-68.628
44.9664,-65.0581
50.6097,-97.5118
42.6494,-82.531
45.9394,-67.1074
45.9804,-66.7532
45.1743,-67.2927
41.9099,-111.87
41.4786,-111.8308
42.1336,-111.7008
42.0838,-111.7489
42.1379,-111.6947
42.5882,-73.9741
45.006,-93.4752
44.9758,-93.323
43.632,-79.4986
43.7088,-79.5833
42.5196,-74.1448
42.5161,-74.1384
41.4819,-74.9864
44.0688,-75.4942
42.5227,-74.1487
45.08,-65.5401
44.4083,-75.8768
46.8064,-64.9654
44.9665,-65.056
50.6725,-99.891
52.277,-113.852
43.516,-80.487
45.084,-65.5401
42.2709,-72.5268
42.3284,-72.4759
42.2707,-72.4666
42.5227,-74.1485
41.9812,-73.3535
42.5201,-74.1442
44.0689,-75.4943
43.898,-76.12
42.5139,-76.3469
42.5715,-74.1416
42.1735,-111.823
42.7052,-71.5294
42.6736,-71.6454
45.5161,-68.3365
42.472,-71.652
44.367,-71.553
42.677,-71.6728
41.679,-70.283
42.5847,-71.6128
43.405,-70.627
43.405,-70.393
43.3994,-70.6263
42.7824,-72.3078
42.258,-72.4561
42.6563,-72.427
42.7969,-72.4866
42.793,-72.4216
42.5893,-72.4634
45.5013,-73.7642
44.3054,-69.1156
44.3733,-69.0754
40.8314,-74.622
41.866,-84.522
43.465,-83.268
45.996,-87.825
42.65,-82.5311
44.815,-83.324
45.116,-83.823
43.2637,-73.6745
44.524,-73.2576
43.8021,-76.2245
43.8042,-72.0745
43.9909,-72.1527
43.9059,-72.1528
49.3995,-117.7632
43.9126,-72.1444
43.9124,-72.1446
43.9147,-72.1428
43.9149,-72.1427
44.5277,-71.8165
44.5277,-71.8124
44.5278,-71.8157
44.9545,-73.2045
42.4775,-76.4867
