spp,lon,lat
Mc,-72.5237,42.3802
Mc,-71.0542,41.6305
Mc,-72.5273,42.2708
Mc,-68.6725,44.883
Mc,-97.5118,50.6097
Mc,-82.531,42.6494
Mc,-67.1074,45.9394
Mc,-66.7532,45.9804
Mc,-67.2927,45.1743
Mc,-111.87,41.9099
Mc,-111.8308,41.4786
Mc,-111.7008,42.1336
Mc,-73.9741,42.5882
Mc,-93.4752,45.006
Mc,-93.323,44.9758
Mc,-79.4986,43.632
Mc,-79.5833,43.7088
Mc,-74.1448,42.5196
Mc,-74.9864,41.4819
Mc,-65.5401,45.08
Mc,-75.8768,44.4083
Mc,-64.9654,46.8064
Mc,-65.056,44.9665
Mc,-99.891,50.6725
Mc,-113.852,52.277
Mc,-80.487,43.516
Mc,-73.3535,41.9812
Mc,-75.4943,44.0689
Mc,-76.12,43.898
Mc,-76.3469,42.5139
Mc,-111.823,42.1735
Mc,-71.5294,42.7052
Mc,-71.6454,42.6736
Mc,-68.3365,45.5161
Mc,-71.652,42.472
Mc,-71.553,44.367
Mc,-70.283,41.679
Mc,-71.6128,42.5847
Mc,-70.393,43.405
Mc,-70.6263,43.3994
Mc,-72.3078,42.7824
Mc,-72.427,42.6563
Mc,-72.4866,42.7969
Mc,-73.7642,45.5013
Mc,-69.0754,44.3733
Mc,-74.622,40.8314
Mc,-84.522,41.866
Mc,-83.268,43.465
Mc,-87.825,45.996
Mc,-83.324,44.815
Mc,-83.823,45.116
Mc,-73.6745,43.2637
Mc,-73.2576,44.524
Mc,-76.2245,43.8021
Mc,-72.0745,43.8042
Mc,-117.7632,49.3995
Mc,-72.1446,43.9124
Mc,-71.8157,44.5278
Mc,-73.2045,44.9545
Mc,-76.4867,42.4775
