ID,lat,lon,ele,time,magvar,geoidheight,name,spp,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
6,41.51960598,-74.75948403,265.250946,2021-07-02T18:52:48Z,,,LC1,LC,LC NB,LC NB,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-02T18:52:48Z
22,41.52794698,-74.76247201,244.02565,2021-07-02T19:36:01Z,,,LC2,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-02T19:36:01Z
36,41.52502497,-74.76173298,244.073532,2021-07-02T19:41:29Z,,,LC3,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-02T19:41:29Z
69,41.52500602,-74.76171697,244.510757,2021-07-02T19:44:32Z,,,UK1,UK,ON LC,ON LC,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-02T19:44:32Z
49,41.516877,-74.53776903,161.700745,2021-07-03T17:37:19Z,,,LC4,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-03T17:37:19Z
51,41.51779801,-74.53664803,159.41597,2021-07-03T17:42:17Z,,,LC5,LC,PATCH,PATCH,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-03T17:42:17Z
53,41.521435,-74.76143198,240.596542,2021-07-03T20:25:51Z,,,LC6,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-03T20:25:51Z
54,41.42913499,-74.75450903,156.243866,2021-07-04T12:30:29Z,,,LC7,LC,LARGE PATCH,LARGE PATCH,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T12:30:29Z
55,41.43441902,-74.75399204,167.314697,2021-07-04T12:51:49Z,,,LC8,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T12:51:49Z
56,41.434559,-74.754417,167.466385,2021-07-04T12:55:36Z,,,LC9,LC,ALL ALONG TRAIL,ALL ALONG TRAIL,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T12:55:36Z
57,41.43689102,-73.78281302,296.681824,2021-07-04T18:11:33Z,,,LC10,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T18:11:33Z
70,41.43691499,-73.78280397,296.555145,2021-07-04T18:11:52Z,,,UK2,UK,ON LC,ON LC,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T18:11:52Z
8,41.45478596,-73.83389904,280.851135,2021-07-04T19:15:50Z,,,LC11,LC,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T19:15:50Z
71,41.45479099,-73.83388798,279.885132,2021-07-04T19:18:39Z,,,UK3,UK,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-07-04T19:18:39Z
